feature,importance
num__age,0.12863097208670787
num__glucose,0.10530757359435867
num__inflammation_score,0.09974017738040664
num__bmi,0.07102704121150225
num__cholesterol,0.06186215093217999
num__systolic_bp,0.05483158230637893
num__medication_adherence,0.04951191675410326
num__adherence_gap,0.04883978072665542
num__diastolic_bp,0.04848647756643566
num__prior_admissions,0.04709018927439707
num__community_risk_index,0.04305873084670719
num__hospitalization_days,0.028606198619047746
num__household_size,0.023818272201422096
num__glucose_risk_flag,0.022849608233490575
num__high_bp_flag,0.01775592050260961
cat__bmi_risk_group_healthy,0.016627314001059667
cat__insurance_type_Private,0.011875802601547403
num__smoker_flag,0.010872633592477067
cat__region_South,0.010295919179325761
cat__region_West,0.009106975645468373
cat__insurance_type_Medicare,0.008459183320895212
cat__bmi_risk_group_overweight,0.007720281555027314
cat__gender_Male,0.007570854757287865
cat__region_North,0.007006291845374239
num__telehealth_missed_flag,0.006907662537827119
cat__bmi_risk_group_obese,0.006889538016463351
cat__exercise_level_moderate,0.006692069943183356
cat__exercise_level_low,0.006594194959062857
cat__insurance_type_Medicaid,0.006218727880996538
cat__gender_Female,0.005930479051965889
cat__region_East,0.005828666117532502
cat__exercise_level_high,0.0052030202984941305
num__vaccinated_flag,0.004779951081405531
cat__bmi_risk_group_underweight,0.002124962569150106
cat__insurance_type_Uninsured,0.0018788788090528421
